FIPS,COUNTY,STATE,ADDRESS,DROPBOXES NAME,TIME & INSTRUCTIONS,ObjectId,x,y
13121,Fulton,GA,"101 Auburn Avenue Atlanta, GA 30303",Auburn Avenue Research Library,No Information Avaliable,162,-85.0205560334083,33.0155109816214
13121,Fulton,GA,"269 Buckhead Avenue, NE Atlanta, GA 30305",Buckhead Library,No Information Avaliable,163,-84.3790599818983,33.8377999905663
13121,Fulton,GA,"47 Cleveland Avenue SW Atlanta, GA 30315",Cleveland Avenue Library,No Information Avaliable,164,-84.3904554454506,33.6811488798887
13121,Fulton,GA,"3647 Main Street College Park, GA 30337",College Park Branch Library,No Information Avaliable,165,-84.4480199946085,33.6555230165682
13121,Fulton,GA,"1838 Donald Lee Hollowell Parkway Atlanta, GA 30318",Dogwood Library,No Information Avaliable,166,-84.4472819684154,33.7742479815816
13121,Fulton,GA,"2757 Main Street East Point, GA 30344",East Point Branch Library,No Information Avaliable,167,-84.4404099813578,33.6801599868243
13121,Fulton,GA,"2301 Holcomb Bridge Road Roswell, GA 30076",East Roswell Branch Library,No Information Avaliable,168,-84.2938809864462,34.0030590186727
13121,Fulton,GA,"3665 Cascade Road, SW Atlanta, GA 30331",Evelyn G. Lowery @ Cascade,No Information Avaliable,169,-84.5066130186469,33.7246520092694
13121,Fulton,GA,"60 Valley View Drive Fairburn, GA 30213",Fairburn Branch Library,No Information Avaliable,170,-83.9113300028176,33.4874000187172
13121,Fulton,GA,"3929 Aviation Circle, Suite A Atlanta, GA 30336",Fulton County Airport:,No Information Avaliable,171,-84.5165469986905,33.7740090137011
13121,Fulton,GA,"11575 Maxwell Road Alpharetta, GA 30009",Fulton County Customer Service Cetner @ Maxwell Road,No Information Avaliable,172,-84.3024440223819,34.0632350059929
13121,Fulton,GA,"141 Pryor Street, SW Atlanta, GA 30303",Fulton County Government Center (1),No Information Avaliable,173,-84.3916739912689,33.7508850192302
13121,Fulton,GA,"130 Peachtree Street, SW Atlanta, GA 30303",Fulton County Government Center (2),No Information Avaliable,174,-84.3925609644242,33.7510369825144
13121,Fulton,GA,"4055 Flat Shoals Road Union City, GA 30291",Gladys S. Dennard Library @ South Fulton,No Information Avaliable,175,-84.5194499871761,33.5877730157846
13121,Fulton,GA,"527 King Arnold Street Hapeville, GA 30354",Hapeville Senior Center,No Information Avaliable,176,-84.4055109428128,33.6586092856838
13121,Fulton,GA,"8100 Holcomb Bridge Road Alpharetta, GA 30022",Johns Creek Environmental Campus,No Information Avaliable,177,-84.2663900198761,33.977127002842
13121,Fulton,GA,"1463 Pryor Road, SW Atlanta, GA 30315",Louise Watley Library at Southeast Atlanta,No Information Avaliable,178,-84.3941329910186,33.7147810188017
13121,Fulton,GA,"400 Formwalt Street Atlanta, GA 30312",Mechanicsville Library,No Information Avaliable,179,-84.3956126007332,33.7434930985316
13121,Fulton,GA,"1332 Metropolitan Parkway Atlanta, GA 30310",Metropolitan Branch Library,No Information Avaliable,180,-84.3911100001874,33.7483100000036
13121,Fulton,GA,"855 Mayfield Road Milton, GA 30009",Milton Branch Library,No Information Avaliable,181,-84.3366420192724,34.0904769881302
13121,Fulton,GA,"7741 Roswell Road Sandy Springs, GA 30350",North Fulton Service Center,No Information Avaliable,182,-84.3506700002564,33.9977599997905
13121,Fulton,GA,"5025 Roswell Road Sandy Springs, GA 30342",North Training Center,No Information Avaliable,183,-84.3506700002564,33.9977599997905
13121,Fulton,GA,"9560 Spruill Road Alpharetta, GA 30022",Northeast /Spruill Oaks Library,No Information Avaliable,184,-84.2242930010467,34.0141600112755
13121,Fulton,GA,"3295 Northside Parkway, NW Atlanta, GA 30327",Northside Library,No Information Avaliable,185,-84.4254099783205,33.8451150033017
13121,Fulton,GA,"2489 Perry Boulevard, NW Atlanta, GA 30318",Northwest Branch Library @ Scott’s Crossing,No Information Avaliable,186,-84.4690490164205,33.8055059841774
13121,Fulton,GA,"9111 Cascade Palmetto Highway Palmetto, GA 30268",Palmetto Branch Library,No Information Avaliable,187,-84.6641079728105,33.5304760019383
13121,Fulton,GA,"980 Ponce De Leon Ave NE Atlanta, GA 30306",Ponce De Leon Library,No Information Avaliable,188,-84.3550660291684,33.7741680178016
13121,Fulton,GA,"5090 Abbotts Bridge Road Johns Creek, GA 30005",Robert E. Fulton Regional Library @ Ocee,No Information Avaliable,189,-84.209640009119,34.0646010047884
13121,Fulton,GA,"115 Norcross Street Roswell, GA 30075",Roswell Branch Library,No Information Avaliable,190,-84.3578410265907,34.0252599977787
13121,Fulton,GA,"395 Mt Vernon Highway, NE Sandy Springs, GA 30328",Sandy Springs Branch Library,No Information Avaliable,191,-84.3744100001537,33.9240000002858
13121,Fulton,GA,"5600 Stonewall Tell Road College Park, GA 30349",South Fulton Service Center,No Information Avaliable,192,-84.5504389728014,33.6018810159018
13121,Fulton,GA,"1116 Martin Luther King Jr Drive Atlanta, GA 30314",Washington Park Library,No Information Avaliable,193,-82.3617499609871,31.225900012918
13121,Fulton,GA,"525 Peeples Street SW Atlanta, GA 30310",West End Library,No Information Avaliable,194,-84.4205079885961,33.7407965226445
13121,Fulton,GA,"3100 Enon Road Atlanta, GA 30331",Wolf Creek Branch Library,No Information Avaliable,195,-83.8465441504156,30.9701895966855
13123,Gilmer,GA,"1 Broad St, Suite 107 Ellijay, GA 30540",Gilmer County Courthouse,"Outside, 24/7 Note: This Dropbox may not be open 24/7",196,-84.4835900252633,34.6950600177437
13125,Glascock,GA,"676 West Main Street Gibson, GA 30810",Office Building,No Information Avaliable,197,-83.38020708015,30.9895579580292
13127,Glynn,GA,"1815 Gloucester Street Brunswick, GA 31520",Board of Elections and Registration Office (outside door),No Information Avaliable,198,-81.4846055004422,31.1520431872345
13129,Gordon,GA,"101 S. Piedmont Street Calhoun, GA 30103",Gordon County Annex Building,"Behind courthouse left side front porch, 24/7",199,-84.9505351822128,34.5027515473814
