Date,Time,State,City,Address,Zipcode,Ethnicity,Gender,Offence,Description,ObjectId,x,y
2/16/2021 12:00:00 AM,,New York,New York,"W 125th St & Frederick Douglass Blvd, New York, 10027",10027,Asian,Two Females,Physical Assault,https://nextshark.com/asian-women-attacked-nyc-subway/,11,-73.9511598897597,40.8101700577568
2/16/2021 12:00:00 AM,,New York,New York,"W Houston St & Mercer St, New York, 10012",10012,Asian,Female,Physical Assault,https://nextshark.com/pepper-spray-asian-woman-new-york/,12,-73.9976398894715,40.7257100620433
2/17/2021 12:00:00 AM,,New York,Queens,"Roosevelt Ave & Main St, Flushing, New York, 11354",11354,Asian,Female,Aggravated Harassment & Physical Assault,https://nextshark.com/elderly-woman-racial-slurs-and-shoved-in-nyc/,13,-73.8301398760675,40.7595700591089
2/25/2021 12:00:00 AM,,New York,New York,"500 Pearl St, New York, 10007",10007,Asian,Male,"Physical Assault, Attempted Murder",https://abc7ny.com/asian-americans-demand-alleged-stabber-be-charged-with-hate-crime/10379978/,14,-74.0012209739443,40.7136860118217
2/26/2021 12:00:00 AM,,New York,Brooklyn,"7th Ave & W 57th St, New York, 10106",10106,Asian,Male,Attempted Murder,https://www.nbcnewyork.com/news/local/4-stabbed-1-dead-in-gambling-den-robbery-in-brooklyn/2913889/,15,-74.0099999280434,40.6385100216159
2/28/2021 12:00:00 AM,,New York,Brooklyn,"De Kalb Ave & Skillman St, Brooklyn, New York, 11205",11205,Asian,Female,Physical Assault,https://nextshark.com/brooklyn-college-student-slashed-by-stranger/,16,-73.9563599386987,40.6907900472809
3/2/2021 12:00:00 AM,,New York,New York,"162 E Broadway, New York, 10002",10002,Asian,Male,Physical Assault,https://abc7ny.com/asian-attack-assault-unprovoked-hate-crime/10385810/,17,-73.9903949919765,40.7141559855692
3/14/2021 12:00:00 AM,,New York,New York,"E 22nd St & 1st Ave, New York, 10010",10010,Asian,Female,Aggravated Harassment,https://nextshark.com/racist-nyc-asian-american-communist-china-tirade-taxi-nyc/,18,-73.9790298851925,40.736220046095
3/9/2021 12:00:00 AM,,New York,Queens,"186th St & Peck Ave, Fresh Meadows, New York, 11365",11365,Asian,Female,Aggravated Harassment,https://nextshark.com/queens-chinese-virus-mother-spat-on/,19,-73.7907498764479,40.7451700326313
3/16/2021 12:00:00 AM,,New York,New York,"E 8th St, New York, 10003",10003,Asian,Female,Physical Assault,https://nextshark.com/brooklyn-passerby-bus-driver-elderly-asian-couple/,20,-73.9784022179305,40.7246868277988
3/18/2021 12:00:00 AM,,New York,New York,"8th Ave & W 37th St, New York, 10018",10018,Asian,Female,Physical Assault,https://nextshark.com/manhattan-pours-liquid-on-asian-woman/,21,-73.992079922429,40.7540900539815
3/22/2021 12:00:00 AM,,New York,New York,"2704 Avenue U, Brooklyn, New York, 11229",11229,Asian,Female,Physical Assault,https://abc7ny.com/asian-woman-attacked-hate-crime-investigation-nypd-brooklyn/10496243/,22,-73.9444920017311,40.6000160053918
3/22/2021 12:00:00 AM,,New York,New York,"Franklin Street Station B&B - 1140 Franklin Ave, Astoria",10013,Asian,Male,Physical Assault,https://nextshark.com/new-york-city-subway-bloodied-unprovoked-attack/,23,-73.9053042793573,40.8286151395099
3/21/2021 12:00:00 AM,,New York,New York,"Grand St & Ludlow St, New York, 10002",10002,Asian,Female,Physical Assault,https://nextshark.com/metal-pipe-hitting-54-year-old-asian-woman-nyc/,24,-73.9899499126858,40.7169700418017
3/21/2021 12:00:00 AM,,New York,New York,"51 Astor Pl, New York, 10003",10003,Asian,Female,Physical Assault,https://nextshark.com/asian-mom-punched-in-front-of-child-on-way-to-anti-asian-violence-protest-in-nyc/,25,-73.9902160385887,40.7298769993096
3/22/2021 12:00:00 AM,,New York,Brooklyn,"Kings Hwy, Brooklyn, New York, 11234",11234,Asian,Female,Physical Assault,https://abc7ny.com/asian-woman-attacked-hate-crime-investigation-nypd-brooklyn/10496243/,26,-73.9487059493216,40.6131879116043
3/23/2021 12:00:00 AM,,New York,Brooklyn,"25th Ave & 86th St, Brooklyn, New York, 11214",11214,Asian,Two Females,Physical Assault,https://nextshark.com/brooklyn-passerby-bus-driver-elderly-asian-couple/,27,-73.9871799449308,40.5979100526406
4/8/2021 12:00:00 AM,,New York,Brooklyn,"579 Gateway Dr, Brooklyn, New York, 11239",11239,Asian,Male & Female,Physical Assault,https://www.amny.com/police-fire/two-more-asian-hate-crimes-chinatown-brooklyn-april-7/,28,-73.8685200237807,40.6532830001635
3/29/2021 12:00:00 AM,,New York,New York,"E Houston St & 2nd Ave, New York, 10002",10003,Asian,Male & Female,Aggravated Harassment,https://nextshark.com/new-york-train-asian-woman-confronts-racist-man/,29,-73.9912599204747,40.723790061121
3/28/2021 12:00:00 AM,,New York,New York,"W 40th St, New York, 10018",10018,Asian,Female,Aggravated Harassment,https://www.radio.com/wcbs880/news/local/pd-man-faces-hate-crime-charges-after-asian-woman-harassed,30,-73.9919488743987,40.7564625507585
